TemplateStr,TemplateTokens,ParameterClasses,ExampleLog,Dataset
Session: <*> initialized by client <*>,"['Session', ':', '<*>', 'initialized', 'by', 'client', '<*>']","{2: 'Object::Session', 6: 'Other::ClosedSet'}",Session: 30546173_4261722401 initialized by client WindowsUpdateAgent.,windows
Warning: Unrecognized packageExtended attribute.,"['Warning', ':', 'Unrecognized', 'packageExtended', 'attribute.']",{},Warning: Unrecognized packageExtended attribute.,windows
Expecting attribute name [HRESULT = <*> <*> <*>],"['Expecting', 'attribute', 'name', '[', 'HRESULT', '=', '<*>', '<*>', '<*>', ']']",{},Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],windows
Failed to get next element [HRESULT = <*> <*> <*>],"['Failed', 'to', 'get', 'next', 'element', '[', 'HRESULT', '=', '<*>', '<*>', '<*>', ']']",{},Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],windows
Failed to internally open package. [HRESULT = <*> <*> <*>],"['Failed', 'to', 'internally', 'open', 'package', '.', '[', 'HRESULT', '=', '<*>', '<*>', '<*>', ']']",{},Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],windows
"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>","['Read', 'out', 'cached', 'package', 'applicability', 'for', 'package', ':', '<*>', ',', 'ApplicableState', ':', '<*>', ',', 'CurrentState', ':', '<*>']",{},"Read out cached package applicability for package: Package_for_KB3121255~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",windows
Failed to create backup log cab. [HRESULT = <*> <*> <*>],"['Failed', 'to', 'create', 'backup', 'log', 'cab', '.', '[', 'HRESULT', '=', '<*>', '<*>', '<*>', ']']",{},Failed to create backup log cab. [HRESULT = 0x80070001 - ERROR_INVALID_FUNCTION],windows
Reboot mark refs incremented to: <*>,"['Reboot', 'mark', 'refs', 'incremented', 'to', ':', '<*>']",{},Reboot mark refs incremented to: 1,windows
Scavenge: <*>,"['Scavenge', ':', '<*>']",{2: 'Other::ClosedSet'},Scavenge: Starts,windows
"<*>:<*>:<*>:<*> CSI Transaction <*> initialized for deployment engine {<*>} with flags <*> and client id [<*>]""<*><*><*><*>","['<*>', ':', '<*>', ':', '<*>', ':', '<*>', 'CSI', 'Transaction', '<*>', 'initialized', 'for', 'deployment', 'engine', '{', '<*>', '}', 'with', 'flags', '<*>', 'and', 'client', 'id', '[', '<*>', ']', '""', '<*>', '<*>', '<*>', '<*>']","{6: 'Time::Timestamp', 4: 'Time::Timestamp', 2: 'Time::Timestamp', 0: 'Time::Timestamp', 9: 'Object::Session'}","00000009@2016/9/27:20:40:53.744 CSI Transaction @0x47e9e0 initialized for deployment engine {d16d444c-56d8-11d5-882d-0080c847b195} with flags 00000002 and client id [10]""TI6.0_0:0/""",windows
<*> Performing <*> operations; <*> are not lock/unlock and follow:,"['<*>', 'Performing', '<*>', 'operations', ';', '<*>', 'are', 'not', 'lock/unlock', 'and', 'follow', ':']",{},0000000a Performing 1 operations; 1 are not lock/unlock and follow:,windows
"<*> Store coherency cookie matches last scavenge cookie, skipping scavenge.","['<*>', 'Store', 'coherency', 'cookie', 'matches', 'last', 'scavenge', 'cookie', ',', 'skipping', 'scavenge.']",{},"0000000b Store coherency cookie matches last scavenge cookie, skipping scavenge.",windows
<*> ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=<*> applyflags=<*>,"['<*>', 'ICSITransaction', ':', ':', 'Commit', 'calling', 'IStorePendingTransaction', ':', ':', 'Apply', '-', 'coldpatching', '=', '<*>', 'applyflags', '=', '<*>']",{},0000000c ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=FALSE applyflags=7,windows
<*>:<*>:<*>:<*> CSI Transaction <*> destroyed,"['<*>', ':', '<*>', ':', '<*>', ':', '<*>', 'CSI', 'Transaction', '<*>', 'destroyed']","{6: 'Time::Timestamp', 4: 'Time::Timestamp', 2: 'Time::Timestamp', 0: 'Time::Timestamp'}",00000010@2016/9/27:20:40:54.787 CSI Transaction @0x47e9e0 destroyed,windows
Starting TrustedInstaller <*>,"['Starting', 'TrustedInstaller', '<*>']",{2: 'Other::ClosedSet'},Starting TrustedInstaller finalization.,windows
Ending TrustedInstaller <*>,"['Ending', 'TrustedInstaller', '<*>']",{2: 'Other::ClosedSet'},Ending TrustedInstaller finalization.,windows
"Loading offline registry hive: <*>, into registry key '<*><*><*><*>' from path '<*>'.","['Loading', 'offline', 'registry', 'hive', ':', '<*>', ',', 'into', 'registry', 'key', ""'"", '<*>', '<*>', '<*>', '<*>', ""'"", 'from', 'path', ""'"", '<*>', ""'"", '.']","{19: 'Location::Path', 5: 'Other::ClosedSet'}","Loading offline registry hive: SOFTWARE, into registry key '{bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SOFTWARE' from path '\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy2\Windows\System32\config\SOFTWARE'.",windows
Reboot mark refs: <*>,"['Reboot', 'mark', 'refs', ':', '<*>']",{},Reboot mark refs: 0,windows
Offline image is: <*>,"['Offline', 'image', 'is', ':', '<*>']",{4: 'Other::ClosedSet'},Offline image is: read-only,windows
"Disabling manifest caching, because the image is not writeable.","['Disabling', 'manifest', 'caching', ',', 'because', 'the', 'image', 'is', 'not', 'writeable.']",{},"Disabling manifest caching, because the image is not writeable.",windows
<*>:<*>:<*>:<*> PopulateComponentFamiliesKey - <*>,"['<*>', ':', '<*>', ':', '<*>', ':', '<*>', 'PopulateComponentFamiliesKey', '-', '<*>']","{6: 'Time::Timestamp', 4: 'Time::Timestamp', 2: 'Time::Timestamp', 0: 'Time::Timestamp', 9: 'Other::ClosedSet'}",00000008@2016/9/28:16:00:46.635 PopulateComponentFamiliesKey - Begin,windows
Unloading offline registry hive: {<*>}<*>,"['Unloading', 'offline', 'registry', 'hive', ':', '{', '<*>', '}', '<*>']",{8: 'Location::Path'},Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SOFTWARE,windows
workerEnv.init() ok <*>,"['workerEnv.init', '(', ')', 'ok', '<*>']",{4: 'Location::Path'},workerEnv.init() ok /etc/httpd/conf/workers2.properties,apache
mod_jk child workerEnv in error state <*>,"['mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '<*>']",{6: 'Other::ClosedSet'},mod_jk child workerEnv in error state 6,apache
jk2_init() Found child <*> in scoreboard slot <*>,"['jk2_init', '(', ')', 'Found', 'child', '<*>', 'in', 'scoreboard', 'slot', '<*>']",{5: 'Object::Process'},jk2_init() Found child 6725 in scoreboard slot 10,apache
[client <*>] Directory index forbidden by rule: <*>,"['[', 'client', '<*>', ']', 'Directory', 'index', 'forbidden', 'by', 'rule', ':', '<*>']","{2: 'Location::IP-Port::IP', 10: 'Location::Path'}",[client 222.166.160.184] Directory index forbidden by rule: /var/www/html/,apache
jk2_init() Can't find child <*> in scoreboard,"['jk2_init', '(', ')', 'Can', ""'"", 't', 'find', 'child', '<*>', 'in', 'scoreboard']",{8: 'Object::Process'},jk2_init() Can't find child 1566 in scoreboard,apache
mod_jk child init <*> <*>,"['mod_jk', 'child', 'init', '<*>', '<*>']",{},mod_jk child init 1 -2,apache
(<*>) CMD (<*> <*>),"['(', '<*>', ')', 'CMD', '(', '<*>', '<*>', ')']",{1: 'Object::User'},(root) CMD (run-parts /etc/cron.hourly),thunderbird
data_thread() got not answer from any [<*>] datasource,"['data_thread', '(', ')', 'got', 'not', 'answer', 'from', 'any', '[', '<*>', ']', 'datasource']",{},data_thread() got not answer from any [Thunderbird_A8] datasource,thunderbird
"synchronized to <*>, stratum <*>","['synchronized', 'to', '<*>', ',', 'stratum', '<*>']",{2: 'Location::IP-Port::IP'},"synchronized to 10.100.20.250, stratum 3",thunderbird
[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,"['[', 'ib_sm_sweep.c', ':', '<*>', ']', ':', '**********************', 'NEW', 'SWEEP', '********************']",{},[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,thunderbird
[ib_sm_sweep.c:1455]: No topology change,"['[', 'ib_sm_sweep.c', ':', '1455', ']', ':', 'No', 'topology', 'change']",{},[ib_sm_sweep.c:1455]: No topology change,thunderbird
[ib_sm_sweep.c:1482]: No configuration change required,"['[', 'ib_sm_sweep.c', ':', '1482', ']', ':', 'No', 'configuration', 'change', 'required']",{},[ib_sm_sweep.c:1482]: No configuration change required,thunderbird
Local disconnected: Connection closed.,"['Local', 'disconnected', ':', 'Connection', 'closed.']",{},Local disconnected: Connection closed.,thunderbird
connection lost: 'Connection closed.',"['connection', 'lost', ':', ""'"", 'Connection', 'closed.', ""'""]",{},connection lost: 'Connection closed.',thunderbird
unable to qualify my own domain name (<*>) -- using short name,"['unable', 'to', 'qualify', 'my', 'own', 'domain', 'name', '(', '<*>', ')', '--', 'using', 'short', 'name']",{8: 'Object::User'},unable to qualify my own domain name (eadmin1) -- using short name,thunderbird
"<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=<*>","['<*>', ':', 'from', '=', '<*>', ',', 'size', '=', '<*>', ',', 'class', '=', '<*>', ',', 'nrcpts', '=', '<*>', ',', 'msgid', '=', '<', '<*>', '>', ',', 'relay', '=', '<*>']",{4: 'Object::User'},"jA9J1UvC004306: from=root, size=629060, class=0, nrcpts=1, msgid=<200511091901.jA9J1UvC004306@eadmin1>, relay=#7#@localhost",thunderbird
"<*>: to=<*>, ctladdr=<*> (<*>), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>: Connection refused by [<*>]","['<*>', ':', 'to', '=', '<*>', ',', 'ctladdr', '=', '<*>', '(', '<*>', ')', ',', 'delay', '=', '<*>', ':', '<*>', ':', '<*>', ',', 'xdelay', '=', '<*>', ':', '<*>', ':', '<*>', ',', 'mailer', '=', '<*>', ',', 'pri', '=', '<*>', ',', 'relay', '=', '[', '<*>', ']', '[', '<*>', ']', ',', 'dsn', '=', '<*>', ',', 'stat', '=', '<*>', ':', 'Connection', 'refused', 'by', '[', '<*>', ']']","{4: 'Object::User', 8: 'Object::User', 15: 'Time::Duration', 17: 'Time::Duration', 19: 'Time::Duration', 23: 'Time::Duration', 25: 'Time::Duration', 27: 'Time::Duration', 40: 'Location::IP-Port::IP', 52: 'Other::ClosedSet', 58: 'Location::IP-Port::IP'}","jA9J1UvC004306: to=root, ctladdr=root (0/0), delay=00:00:01, xdelay=00:00:00, mailer=relay, pri=659060, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",thunderbird
DHCPDISCOVER from <*>:<*>:<*>:<*>:<*>:<*> via eth1,"['DHCPDISCOVER', 'from', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', 'via', 'eth1']","{2: 'Location::MAC', 4: 'Location::MAC', 6: 'Location::MAC', 8: 'Location::MAC', 10: 'Location::MAC'}",DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,thunderbird
<*> on <*> to <*>:<*>:<*>:<*>:<*>:<*> via <*>,"['<*>', 'on', '<*>', 'to', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', 'via', '<*>']","{2: 'Location::IP-Port::IP', 4: 'Location::MAC', 6: 'Location::MAC', 8: 'Location::MAC', 10: 'Location::MAC', 12: 'Location::MAC', 14: 'Location::MAC', 16: 'Object::ComputingResource'}",DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,thunderbird
<*> from <*>:<*>:<*>:<*>:<*>:<*> via <*>: network A_net: no free leases,"['<*>', 'from', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', 'via', '<*>', ':', 'network', 'A_net', ':', 'no', 'free', 'leases']","{2: 'Location::MAC', 4: 'Location::MAC', 6: 'Location::MAC', 8: 'Location::MAC', 10: 'Location::MAC', 12: 'Location::MAC', 0: 'Other::ClosedSet', 14: 'Object::ComputingResource'}",DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,thunderbird
<*> for <*> (<*>) from <*>:<*>:<*>:<*>:<*>:<*> via <*>,"['<*>', 'for', '<*>', '(', '<*>', ')', 'from', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', ':', '<*>', 'via', '<*>']","{0: 'Other::ClosedSet', 2: 'Location::IP-Port::IP', 4: 'Location::IP-Port::IP', 7: 'Location::MAC', 9: 'Location::MAC', 11: 'Location::MAC', 13: 'Location::MAC', 15: 'Location::MAC', 17: 'Location::MAC', 19: 'Object::ComputingResource'}",DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1,thunderbird
START: tftp pid=<*> from=<*>,"['START', ':', 'tftp', 'pid', '=', '<*>', 'from', '=', '<*>']","{5: 'Object::Process', 8: 'Location::IP-Port::IP'}",START: tftp pid=16563 from=10.100.4.251,thunderbird
RRD_update (<*> <*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),"['RRD_update', '(', '<*>', '<*>', ')', ':', 'illegal', 'attempt', 'to', 'update', 'using', 'time', '<*>', 'when', 'last', 'update', 'time', 'is', '<*>', '(', 'minimum', 'one', 'second', 'step', ')']","{2: 'Location::Path', 3: 'Location::Path', 12: 'Time::Timestamp', 18: 'Time::Timestamp'}",RRD_update (/var/lib/ganglia/rrds/C Nodes/cn304/pkts_out.rrd): illegal attempt to update using time 1131563037 when last update time is 1131563037 (minimum one second step),thunderbird
kernel time sync disabled <*>,"['kernel', 'time', 'sync', 'disabled', '<*>']",{},kernel time sync disabled 0041,thunderbird
time reset <*> <*>,"['time', 'reset', '<*>', '<*>']","{2: 'Time::Duration', 3: 'Time::Duration'}",time reset +0.182379 s,thunderbird
kernel time sync <*> <*>,"['kernel', 'time', 'sync', '<*>', '<*>']",{3: 'Other::ClosedSet'},kernel time sync enabled 0001,thunderbird
My unqualified host name (<*>) unknown; sleeping for retry,"['My', 'unqualified', 'host', 'name', '(', '<*>', ')', 'unknown', ';', 'sleeping', 'for', 'retry']",{5: 'Object::User'},My unqualified host name (eadmin1) unknown; sleeping for retry,thunderbird
CentOS-4 (Kernel Module GPG key),"['CentOS-4', '(', 'Kernel', 'Module', 'GPG', 'key', ')']",{},CentOS-4 (Kernel Module GPG key),thunderbird
(supports <*> <*> <*>),"['(', 'supports', '<*>', '<*>', '<*>', ')']",{},(supports S0 S4 S5),thunderbird
<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,"['<*>', '(', 'v001', 'DELL', 'PE', 'BKC', '<*>', 'MSFT', '<*>', ')', '@', '<*>']",{},DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000,thunderbird
<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,"['<*>', '(', 'v001', 'DELL', 'PE', 'BKC', '<*>', 'MSFT', '<*>', ')', '@', '<*>']",{},DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000,thunderbird
HPET id: <*> base: <*>,"['HPET', 'id', ':', '<*>', 'base', ':', '<*>']",{},HPET id: 0xffffffff base: 0xfed00000,thunderbird
INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> <*> <*>),"['INT_SRC_OVR', '(', 'bus', '<*>', 'bus_irq', '<*>', 'global_irq', '<*>', '<*>', '<*>', ')']",{},INT_SRC_OVR (bus 0 bus_irq 0 global_irq 2 dfl dfl),thunderbird
IOAPIC (id[<*>] address[<*>] gsi_base[<*>]),"['IOAPIC', '(', 'id', '[', '<*>', ']', 'address', '[', '<*>', ']', 'gsi_base', '[', '<*>', ']', ')']",{},IOAPIC (id[0x08] address[0xfec00000] gsi_base[0]),thunderbird
<*> used by override.,"['<*>', 'used', 'by', 'override.']",{0: 'Other::ClosedSet'},IRQ0 used by override.,thunderbird
Interpreter enabled,"['Interpreter', 'enabled']",{},Interpreter enabled,thunderbird
LAPIC (acpi_id[<*>] lapic_id[<*>] enabled),"['LAPIC', '(', 'acpi_id', '[', '<*>', ']', 'lapic_id', '[', '<*>', ']', 'enabled', ')']",{},LAPIC (acpi_id[0x01] lapic_id[0x00] enabled),thunderbird
LAPIC_NMI (acpi_id[<*>] high edge lint[<*>]),"['LAPIC_NMI', '(', 'acpi_id', '[', '<*>', ']', 'high', 'edge', 'lint', '[', '<*>', ']', ')']",{},LAPIC_NMI (acpi_id[0x01] high edge lint[0x1]),thunderbird
Local APIC address <*>,"['Local', 'APIC', 'address', '<*>']",{},Local APIC address 0xfee00000,thunderbird
PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*><*> <*>,"['PCI', 'Interrupt', 'Link', '[', '<*>', ']', '(', 'IRQs', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>']",{},PCI Interrupt Link [LNKA] (IRQs 3 4 5 6 7 10 11 12) *14,thunderbird
PCI Interrupt Routing Table [<*>],"['PCI', 'Interrupt', 'Routing', 'Table', '[', '<*>', ']']",{},PCI Interrupt Routing Table [\_SB_.PCI0.PALO.DOBA._PRT],thunderbird
PCI Root Bridge [<*>] (<*>:<*>),"['PCI', 'Root', 'Bridge', '[', '<*>', ']', '(', '<*>', ':', '<*>', ')']",{4: 'Object::ComputingResource'},PCI Root Bridge [PCI0] (00:00),thunderbird
"PCI interrupt <*>:<*>:<*>[A] -> GSI <*> (level, low) -> IRQ <*>","['PCI', 'interrupt', '<*>', ':', '<*>', ':', '<*>', '[', 'A', ']', '-', '>', 'GSI', '<*>', '(', 'level', ',', 'low', ')', '-', '>', 'IRQ', '<*>']",{},"PCI interrupt 0000:00:02.0[A] -> GSI 16 (level, low) -> IRQ 169",thunderbird
Power Button (FF) [PWRF],"['Power', 'Button', '(', 'FF', ')', '[', 'PWRF', ']']",{},Power Button (FF) [PWRF],thunderbird
Processor [<*>] (supports <*>),"['Processor', '[', '<*>', ']', '(', 'supports', '<*>', ')']",{2: 'Object::ComputingResource'},Processor [CPU0] (supports C1),thunderbird
RSDP (<*> DELL ) @ <*>,"['RSDP', '(', '<*>', 'DELL', ')', '@', '<*>']",{},RSDP (v000 DELL ) @ 0x00000000000fd650,thunderbird
Subsystem revision <*>,"['Subsystem', 'revision', '<*>']",{},Subsystem revision 20040816,thunderbird
Intel(R) Xeon(TM) CPU <*> stepping <*>,"['Intel', '(', 'R', ')', 'Xeon', '(', 'TM', ')', 'CPU', '<*>', 'stepping', '<*>']",{},Intel(R) Xeon(TM) CPU 3.60GHz stepping 03,thunderbird
L2 cache: <*>,"['L2', 'cache', ':', '<*>']",{},L2 cache: 2048K,thunderbird
L<*> cache: <*>,"['L<*>', 'cache', ':', '<*>']",{},L2 cache: 2048K,thunderbird
Physical Processor ID: <*>,"['Physical', 'Processor', 'ID', ':', '<*>']",{},Physical Processor ID: 0,thunderbird
"Trace cache: <*> uops, L1 D cache: <*>","['Trace', 'cache', ':', '<*>', 'uops', ',', 'L1', 'D', 'cache', ':', '<*>']",{},"Trace cache: 12K uops, L1 D cache: 16K",thunderbird
colour VGA+ 80x25,"['colour', 'VGA+', '80x25']",{},colour VGA+ 80x25,thunderbird
mounted filesystem with ordered data mode.,"['mounted', 'filesystem', 'with', 'ordered', 'data', 'mode.']",{},mounted filesystem with ordered data mode.,thunderbird
"sys_ia32.c,v 1.32 <*> <*>:<*>:<*> ak Exp $","['sys_ia32.c', ',', 'v', '1.32', '<*>', '<*>', ':', '<*>', ':', '<*>', 'ak', 'Exp', '$']","{4: 'Time::Timestamp', 9: 'Time::Timestamp', 7: 'Time::Timestamp', 5: 'Time::Timestamp'}","sys_ia32.c,v 1.32 2002/03/24 13:02:28 ak Exp $",thunderbird
"apic_id <*>, version <*>, address <*>, GSI <*>","['apic_id', '<*>', ',', 'version', '<*>', ',', 'address', '<*>', ',', 'GSI', '<*>']",{},"apic_id 8, version 32, address 0xfec00000, GSI 0-23",thunderbird
"routing cache hash table of <*> buckets, <*>","['routing', 'cache', 'hash', 'table', 'of', '<*>', 'buckets', ',', '<*>']",{},"routing cache hash table of 65536 buckets, 1024Kbytes",thunderbird
PCI Hot Plug PCI Core version: <*>,"['PCI', 'Hot', 'Plug', 'PCI', 'Core', 'version', ':', '<*>']",{},PCI Hot Plug PCI Core version: 0.5,thunderbird
"root=<*>=<*> initrd=<*> console=<*> console=<*>,<*> <*> BOOT_IMAGE=<*>","['root', '=', '<*>', '=', '<*>', 'initrd', '=', '<*>', 'console', '=', '<*>', 'console', '=', '<*>', ',', '<*>', '<*>', 'BOOT_IMAGE', '=', '<*>']","{4: 'Location::Path', 7: 'Location::Path', 19: 'Location::Path'}","root=LABEL=/ initrd=/x86_64/initrd-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr-admin console=tty0 console=ttyS0,19200 fastboot BOOT_IMAGE=/x86_64/vmlinuz-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr",thunderbird
Registered protocol family <*>,"['Registered', 'protocol', 'family', '<*>']",{},Registered protocol family 1,thunderbird
Using software bounce buffering for IO (SWIOTLB),"['Using', 'software', 'bounce', 'buffering', 'for', 'IO', '(', 'SWIOTLB', ')']",{},Using software bounce buffering for IO (SWIOTLB),thunderbird
